Number of reviews,Last Review Date,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Checkin,Review Scores Communication,Review Scores Location,Review Scores Value,Reviews per month
1,8/19/17,100,10,10,10,10,10,10,0.28
135,11/17/17,91,9,9,10,10,9,9,7.5
19,2008-11-17,98,10,10,10,10,9,9,1.11
7,10/15/17,97,10,9,10,10,10,9,0.25
3,10/15/17,93,10,9,10,10,9,9,0.22
62,9/18/17,97,10,10,10,10,9,9,0.96
0,,,,,,,,,
264,2012-01-17,97,10,10,10,10,10,9,9.65
11,2/27/17,90,10,9,8,9,8,8,0.42
6,10/25/17,93,10,10,8,9,10,9,0.39
0,,,,,,,,,
4,2009-11-16,85,8,10,10,10,9,8,0.21
1,3/19/16,100,10,8,10,10,10,8,0.05
0,,,,,,,,,
18,10/16/17,98,10,10,10,10,9,10,0.46
10,2009-07-17,98,10,10,10,10,10,10,0.19
14,11/21/17,98,10,10,10,10,10,9,0.52
0,,,,,,,,,
7,2011-06-17,89,9,9,9,9,8,9,2.66
40,11/15/17,89,10,9,10,9,9,9,2.15
33,10/13/17,98,10,10,10,10,10,10,1.36
89,2011-12-17,88,9,9,9,9,9,9,3.9
2,2001-08-17,100,10,10,10,10,10,10,0.14
1,7/29/16,100,10,10,10,10,10,10,0.06
3,5/28/17,93,10,10,10,10,9,9,0.2
2,5/23/17,90,7,10,6,7,9,9,0.3
16,11/21/17,99,10,10,10,10,9,10,0.42
2,2009-11-16,100,10,10,10,10,8,9,0.08
0,,,,,,,,,
17,11/13/17,95,10,9,10,10,9,9,1.23
2,8/18/17,90,9,10,10,8,8,10,0.53
14,3/29/16,90,9,9,9,10,9,9,0.35
12,10/29/17,95,9,9,10,10,10,9,0.19
11,2005-01-17,96,10,9,10,10,10,10,0.22
19,10/29/17,95,9,9,10,10,10,9,0.92
2,9/19/17,100,10,10,10,10,10,9,0.75
3,2011-04-17,100,10,10,10,10,10,8,0.11
29,11/26/17,99,10,10,10,10,9,10,0.96
0,,,,,,,,,
4,4/13/17,100,10,9,10,10,10,10,0.12
62,11/13/17,97,10,10,10,10,10,10,2
24,9/19/17,98,10,10,10,10,9,10,0.54
16,2012-05-16,95,10,10,10,10,10,10,0.63
0,,,,,,,,,
11,2010-01-17,82,9,10,8,9,9,7,0.98
6,8/15/17,83,9,8,9,8,9,7,1.19
3,6/27/17,80,9,8,9,9,7,9,0.13
14,5/31/17,90,9,10,9,9,9,9,1.72
3,11/26/17,93,10,9,10,10,10,9,0.38
2,10/17/16,100,10,10,10,10,8,9,0.09
0,,,,,,,,,
1,2008-06-16,100,10,8,10,10,10,10,0.06
2,4/16/17,100,10,10,10,10,10,10,0.13
13,2011-05-17,73,8,8,8,8,7,7,0.79
69,2011-02-17,94,10,10,10,9,9,9,2.13
0,,,,,,,,,
8,9/20/17,88,10,10,10,10,9,10,0.22
15,7/23/17,91,9,9,9,10,9,9,0.24
27,9/30/17,98,10,10,10,10,9,9,1.29
9,6/16/17,100,10,10,10,10,10,10,0.66
0,,,,,,,,,
11,2012-03-17,98,10,10,10,10,9,9,4.18
21,10/30/17,94,10,9,10,10,9,9,1.53
1,7/19/17,100,10,10,10,10,8,10,0.21
4,2001-02-17,95,10,10,10,10,10,10,0.17
19,10/30/17,99,10,10,10,10,10,10,1.03
3,3/23/17,100,9,10,10,10,10,9,0.33
110,2010-10-17,93,10,9,10,10,9,9,5.46
1,2001-03-17,80,10,8,10,8,10,8,0.09
1,2011-03-17,100,10,10,10,10,10,10,0.91
0,,,,,,,,,
306,2011-06-17,96,10,10,10,10,9,10,4.54
20,9/17/17,94,10,10,9,10,9,9,1.19
170,11/24/17,92,10,10,10,9,9,9,8.87
113,9/30/17,94,9,9,10,10,9,9,2.22
7,9/25/16,89,9,9,8,9,8,8,0.33
22,11/26/17,97,9,10,10,10,9,9,4.2
85,9/17/17,93,10,10,10,10,9,9,1.14
35,10/23/17,94,10,9,10,10,9,9,0.63
0,,,,,,,,,
1,11/19/17,100,10,10,10,10,10,10,1
7,2005-08-16,94,10,10,10,10,9,9,0.22
9,2010-01-16,78,8,8,10,10,9,9,0.56
16,2008-04-17,95,10,10,10,10,10,10,0.5
10,5/28/17,98,10,10,10,10,9,10,0.31
2,2010-12-16,100,10,9,10,10,10,10,0.14
6,7/31/17,80,9,7,10,9,9,8,0.83
3,2006-08-15,90,10,9,10,9,9,9,0.1
0,,,,,,,,,
15,2006-11-17,99,10,10,10,10,10,10,0.38
8,2010-01-17,100,10,10,10,10,9,9,1.73
10,9/18/17,90,9,8,10,9,9,9,0.59
9,8/17/17,95,9,9,10,10,9,10,0.31
9,2012-05-16,95,10,10,10,10,9,9,0.32
14,2011-12-17,98,10,10,10,10,10,10,0.49
3,8/14/17,100,10,10,10,10,9,10,0.62
13,7/15/17,98,10,10,10,10,10,10,0.48
2,2008-03-17,100,10,10,9,10,10,9,0.45
17,8/13/17,98,10,10,10,10,9,9,0.64
5,2007-10-17,92,8,10,10,8,10,9,0.55
18,2/27/17,96,10,10,10,10,10,9,0.45
1,2005-01-16,40,6,4,10,10,10,2,0.05
3,11/28/16,93,10,9,10,10,9,9,0.19
2,2009-04-17,100,10,10,9,10,9,10,0.56
8,2006-12-17,98,10,10,9,10,10,9,0.39
7,3/30/16,94,9,9,10,10,9,9,0.16
2,11/13/17,100,10,10,10,10,10,10,1.13
9,9/27/17,96,10,9,9,9,10,9,0.55
0,,,,,,,,,
12,2005-12-17,98,10,10,10,10,10,10,0.23
16,10/22/17,98,10,10,10,10,9,10,2.05
4,2005-08-17,100,10,10,10,10,10,10,0.26
2,11/27/15,100,10,10,10,10,10,10,0.08
1,8/21/17,100,10,10,,10,,,0.28
6,2/15/16,100,10,10,9,9,10,9,0.22
42,9/15/16,91,9,9,9,9,10,9,1.89
2,4/18/16,80,10,10,10,10,10,8,0.07
39,2010-09-17,92,9,9,10,10,10,9,0.97
33,2012-03-17,96,10,10,10,10,10,10,4.9
7,11/27/17,87,10,8,10,9,10,9,0.24
20,9/18/17,96,10,9,10,10,9,9,0.71
3,5/14/17,93,9,9,10,10,9,8,0.42
38,11/13/17,98,10,10,10,10,10,10,0.94
1,6/19/16,80,,,,8,8,8,0.06
1,2002-12-17,100,10,10,10,10,8,10,0.1
7,11/13/17,86,9,9,9,10,9,9,0.93
1,7/26/15,100,8,10,10,10,10,10,0.03
2,9/24/16,90,10,9,10,10,9,9,0.13
14,10/15/17,97,10,10,10,10,10,10,1.69
60,10/24/17,94,10,9,10,10,9,9,1.84
0,,,,,,,,,
3,2009-11-17,100,10,10,10,10,8,9,0.75
7,2009-11-17,86,9,8,9,9,8,8,1.43
2,7/25/17,100,10,9,10,10,10,9,0.25
4,2010-02-16,90,10,10,10,10,10,9,0.14
1,8/18/16,100,10,10,10,10,10,10,0.06
0,,,,,,,,,
127,11/19/17,99,10,10,10,10,10,10,2.99
14,10/15/17,97,10,10,10,10,9,9,0.39
0,,,,,,,,,
2,2008-08-16,100,10,10,10,10,10,8,0.12
28,11/19/17,97,10,9,10,10,10,9,0.97
133,2010-02-17,97,10,10,10,10,10,10,4.52
8,2008-08-17,95,10,9,10,10,10,10,0.42
15,6/24/17,91,9,9,10,9,9,9,1.35
3,3/29/16,80,9,10,10,9,8,9,0.13
5,2011-02-17,92,10,8,10,9,10,9,1.23
2,7/30/17,100,8,10,10,10,10,9,0.43
5,2009-10-16,100,10,10,10,10,10,9,0.19
5,5/28/17,92,9,9,9,10,8,9,0.12
10,2011-12-17,90,9,9,10,10,8,9,0.75
6,11/13/17,100,10,10,10,10,10,9,0.4
18,11/22/17,87,9,7,10,10,9,9,0.76
0,,,,,,,,,
15,11/13/17,91,9,8,9,10,9,9,0.98
9,2011-05-17,90,10,8,10,10,9,9,1.55
5,10/21/17,95,10,10,10,10,9,9,1.29
3,8/21/16,93,10,10,10,10,9,9,0.19
4,6/26/17,100,9,10,9,10,9,10,0.59
26,10/22/17,95,10,10,10,10,10,9,0.69
4,11/24/17,90,9,9,10,10,8,9,4
0,,,,,,,,,
8,8/27/17,98,10,10,10,10,10,10,0.34
9,9/27/17,84,9,10,8,8,10,9,2.35
0,,,,,,,,,
4,2008-06-17,100,10,10,9,10,10,10,0.88
2,2011-12-17,100,10,10,10,10,8,10,0.92
20,11/19/17,96,10,10,10,10,10,9,0.71
23,4/25/17,91,9,9,10,10,10,9,0.4
17,11/14/17,94,10,10,10,10,10,10,0.96
12,2008-01-17,98,10,10,10,10,10,10,0.73
2,2007-02-17,100,10,10,10,10,10,9,0.33
1,11/30/17,100,10,10,10,10,10,10,1
3,10/23/16,93,9,9,9,10,10,8,0.18
4,8/23/17,100,10,10,10,10,10,10,0.14
6,2012-03-17,100,10,9,10,10,10,10,0.98
13,2001-01-17,94,9,10,10,10,9,9,0.48
17,2007-05-17,98,10,9,10,10,9,9,0.65
0,,,,,,,,,
4,9/15/17,100,10,9,10,10,10,10,0.32
17,10/24/17,94,9,10,10,10,9,9,0.98
8,5/17/17,90,10,10,10,10,9,9,0.71
37,11/30/17,94,10,10,9,9,10,9,1.12
19,2010-08-17,98,10,10,10,10,9,9,1.19
14,2011-06-17,99,10,10,10,10,9,9,1
3,2010-05-17,100,10,10,10,9,9,9,0.49
6,9/23/16,100,9,10,10,10,10,10,0.25
0,,,,,,,,,
20,8/29/17,95,10,9,10,10,10,9,0.46
0,,,,,,,,,
17,11/19/17,99,10,10,10,10,10,9,2.77
20,7/29/17,96,10,10,10,9,9,9,0.74
2,6/18/17,90,10,8,8,9,10,8,0.3
69,11/19/17,91,9,9,10,10,8,9,4.14
0,,,,,,,,,
2,2011-08-16,90,9,10,10,9,10,8,0.15
0,,,,,,,,,
10,10/16/17,87,9,9,9,10,10,9,0.25
1,4/25/14,100,10,10,10,10,10,10,0.02
14,2006-04-17,100,10,10,9,10,10,9,0.54
0,,,,,,,,,
1,11/13/17,100,10,10,10,10,10,8,1
24,2011-04-17,92,9,9,9,9,9,9,2.3
3,10/19/17,100,9,10,9,10,9,10,0.19
4,7/13/17,100,10,10,10,9,10,10,0.44
5,11/26/17,92,10,9,8,9,9,8,0.6
7,2010-09-16,94,10,9,10,10,9,10,0.39
7,8/27/17,83,8,9,8,9,9,9,1.65
0,,,,,,,,,
25,2007-03-17,97,10,10,10,10,10,9,0.64
37,9/20/17,96,10,10,10,10,10,9,0.96
16,2007-12-17,100,10,10,10,10,10,10,1.89
1,10/29/17,100,10,10,10,10,10,8,0.79
2,8/19/16,70,9,7,7,5,6,7,0.12
50,10/31/17,92,9,10,10,10,9,9,1.77
159,2011-10-17,94,10,10,10,10,9,9,3.76
0,,,,,,,,,
8,9/17/17,80,9,8,10,9,9,9,1.25
0,,,,,,,,,
11,7/27/15,94,10,9,9,10,10,9,0.25
5,11/26/17,100,10,10,10,10,8,9,3.33
92,2010-09-16,95,10,10,10,10,9,10,2.27
9,11/27/17,100,10,10,10,10,9,9,1.8
3,4/15/17,93,9,9,9,9,9,9,0.16
2,8/20/17,100,10,10,10,10,9,10,0.53
0,,,,,,,,,
4,8/27/17,95,10,10,10,10,9,10,0.15
2,8/20/17,100,10,10,10,10,9,10,0.51
3,2008-08-17,67,6,7,5,5,5,6,0.7
27,8/30/17,92,10,9,9,10,9,9,0.97
6,2009-12-16,97,10,10,10,10,9,9,0.23
0,,,,,,,,,
0,,,,,,,,,
15,5/13/17,97,10,10,10,9,9,9,0.64
17,10/30/17,88,9,9,9,9,9,9,3.57
5,8/14/17,100,10,10,10,10,9,10,0.44
4,11/15/17,95,10,9,10,10,9,10,2.18
3,2010-07-17,100,9,10,10,10,8,9,0.74
1,2005-03-17,100,10,10,10,10,8,8,0.09
2,2005-07-17,100,10,9,10,10,9,10,0.28
5,2011-03-17,80,8,9,6,6,7,8,1.95
1,11/23/17,100,10,10,10,10,10,10,1
0,,,,,,,,,
37,10/15/17,98,10,10,10,10,9,10,2.08
1,8/30/17,100,10,10,10,10,10,10,0.31
0,,,,,,,,,
60,7/25/17,95,10,9,10,10,9,9,1.07
11,3/26/17,98,10,9,10,10,9,9,0.48
2,5/22/17,100,10,10,10,10,9,9,0.29
6,2010-01-17,97,10,9,10,10,9,10,1.42
7,11/25/17,97,10,10,10,10,8,10,0.63
12,9/25/17,98,10,10,10,10,10,9,0.73
7,7/30/17,100,10,10,10,10,10,9,0.22
2,2008-05-17,80,9,8,9,6,8,8,0.47
18,2008-05-17,96,9,9,9,9,9,9,1.01
5,2007-03-16,96,10,10,10,10,9,10,0.18
3,2010-01-17,73,9,9,9,8,9,7,0.74
0,,,,,,,,,
3,11/18/17,53,7,5,5,5,8,5,1.25
0,,,,,,,,,
15,7/26/17,87,10,9,9,9,9,8,2.45
16,4/24/17,95,9,10,10,10,9,9,0.56
0,,,,,,,,,
10,10/16/17,96,10,10,10,10,9,10,0.64
5,3/26/17,96,10,10,10,10,9,9,0.38
0,,,,,,,,,
16,8/27/17,95,10,9,10,10,9,10,1.96
0,,,,,,,,,
16,1/18/17,88,9,10,9,9,9,9,0.59
1,2005-08-16,100,8,10,10,10,10,10,0.05
11,2012-02-17,93,10,10,10,10,10,9,1.23
13,2012-03-17,95,10,10,10,10,10,10,3.42
27,7/22/17,95,10,10,10,10,10,9,1
1,2004-10-16,60,6,4,6,10,10,4,0.05
12,9/24/17,88,9,9,7,8,9,9,0.84
8,10/29/17,100,10,9,10,10,9,10,0.34
10,8/15/17,89,10,9,10,10,9,8,0.61
1,2005-07-17,100,8,10,10,10,10,10,0.13
116,10/22/17,94,10,10,10,10,9,9,1.84
6,2008-12-17,93,10,9,10,10,9,10,0.36
13,2009-09-17,92,10,8,10,10,9,9,0.47
0,,,,,,,,,
14,2008-09-17,93,10,9,10,9,9,9,0.49
77,2011-03-17,97,10,10,10,10,10,9,1.93
4,2011-12-17,75,9,7,6,8,10,8,1.38
39,10/22/17,99,10,10,10,10,10,10,1.23
6,10/16/17,100,10,10,10,10,9,9,0.39
12,11/26/17,100,10,10,10,10,9,9,0.68
0,,,,,,,,,
13,10/29/17,95,10,10,10,10,9,9,0.25
46,10/29/17,98,10,10,10,10,10,10,0.9
0,,,,,,,,,
1,2001-01-16,100,10,10,10,10,10,10,0.04
222,11/27/17,93,9,9,10,10,9,9,4.1
6,2007-02-17,96,9,9,9,10,9,10,0.73
8,2011-01-16,95,10,10,9,10,9,10,0.3
0,,,,,,,,,
3,10/29/17,100,10,9,10,10,9,9,0.39
4,2012-01-17,95,10,10,9,10,10,9,4
17,2011-10-17,99,10,10,10,10,10,9,0.55
7,11/27/17,90,10,9,10,10,9,9,1.65
0,,,,,,,,,
16,2008-09-17,99,10,10,10,10,10,9,0.95
33,8/16/17,96,9,8,10,10,9,9,0.8
1,7/16/17,40,6,6,6,6,6,2,0.21
10,2011-07-17,94,10,10,10,10,10,9,0.53
13,8/29/17,97,10,9,10,10,10,10,0.56
5,9/13/17,100,10,10,10,10,9,9,0.34
4,9/25/17,100,10,10,10,10,9,9,0.99
16,2009-05-17,97,10,9,10,10,9,9,0.94
13,11/26/17,95,10,9,10,10,9,9,2.62
44,11/19/17,97,10,10,10,10,10,10,4.44
0,,,,,,,,,
139,11/20/17,95,9,9,10,10,9,9,1.65
2,11/24/17,100,9,9,10,10,10,10,2
13,2007-01-17,97,10,10,9,10,10,9,0.71
0,,,,,,,,,
31,11/25/17,99,10,10,10,10,10,10,1.57
19,11/13/17,73,8,7,8,8,9,7,1.06
4,4/17/17,85,10,10,10,10,8,7,0.48
6,6/18/17,90,10,9,10,10,10,8,0.77
6,3/30/17,100,10,10,10,10,9,10,0.61
4,2009-01-17,95,10,10,10,10,10,10,1.06
16,8/21/17,99,10,10,10,10,10,10,0.51
9,2001-02-17,100,10,10,10,10,10,10,0.28
7,2005-07-17,94,9,9,10,9,10,9,0.3
0,,,,,,,,,
1,2006-03-16,100,10,10,10,10,10,10,0.05
3,2011-05-17,100,10,9,10,10,8,10,2.25
44,10/23/17,100,10,10,10,10,10,10,1.41
2,9/25/17,100,10,10,10,10,9,10,0.77
8,4/18/17,100,10,10,10,10,8,10,0.95
1,2008-09-17,100,10,10,10,10,10,10,0.25
9,10/22/17,100,10,10,10,10,10,10,0.8
6,11/26/17,100,10,10,10,10,9,9,0.22
4,8/16/17,95,10,9,9,10,8,9,0.63
40,6/30/17,97,10,10,10,10,9,9,1.51
1,2012-01-17,80,10,8,6,8,8,10,1
27,11/13/17,97,10,10,9,9,9,10,0.92
2,8/27/17,100,10,10,9,10,9,10,0.39
0,,,,,,,,,
129,11/24/17,98,10,10,10,10,9,10,2.7
12,2012-03-17,98,10,10,10,10,9,10,0.83
0,,,,,,,,,
1,4/19/17,100,10,10,10,10,8,8,0.13
15,11/19/17,94,10,10,10,10,9,9,0.56
6,2007-03-17,100,10,10,10,10,10,10,0.37
14,9/24/17,94,10,10,9,9,9,9,0.88
27,8/31/17,99,10,10,10,10,10,10,1.17
3,8/19/16,100,10,9,10,10,10,10,0.16
11,2010-02-17,100,10,10,10,10,9,10,1.86
16,9/27/17,96,10,10,10,10,9,9,0.59
9,2011-05-17,96,10,10,10,10,10,10,0.51
14,2001-02-17,93,9,9,9,10,8,9,0.48
19,10/22/17,100,10,10,10,10,10,10,0.57
1,10/22/17,100,10,8,10,10,8,8,0.67
37,7/30/17,91,9,9,10,10,9,9,0.74
29,2010-01-17,88,9,9,9,9,9,9,0.87
1,2008-03-16,100,10,10,10,10,10,10,0.06
4,10/25/17,100,10,9,10,10,10,10,0.15
10,10/18/17,100,10,10,10,10,9,10,0.53
14,11/20/17,93,10,10,9,10,9,9,1.92
0,,,,,,,,,
7,4/24/16,91,10,9,10,10,9,9,0.24
7,8/18/17,91,9,9,10,9,9,8,0.42
8,2008-07-17,93,10,9,10,10,9,9,0.79
0,,,,,,,,,
0,,,,,,,,,
2,11/16/17,90,9,9,6,9,8,9,2
0,,,,,,,,,
2,4/20/17,100,9,9,10,10,10,10,0.09
0,,,,,,,,,
18,11/20/17,95,10,10,10,10,9,9,2.25
10,2007-06-17,92,9,9,9,9,9,9,0.23
0,,,,,,,,,
14,2007-09-17,99,10,10,10,10,9,10,0.69
52,2011-01-17,97,10,10,10,10,9,10,5.15
0,,,,,,,,,
5,3/29/17,96,9,10,9,9,8,10,0.3
42,7/23/17,93,9,9,9,9,9,9,1.7
6,10/22/17,90,9,10,10,9,10,9,0.15
5,9/24/17,80,9,8,7,7,8,8,0.92
18,7/17/17,81,8,8,10,9,8,8,0.26
4,8/30/17,85,9,6,9,8,8,7,1.12
4,2008-08-17,70,9,7,7,8,9,8,0.95
15,10/14/17,97,10,10,10,10,9,9,1
2,5/14/17,100,10,10,10,10,10,10,0.27
69,8/30/17,87,9,9,10,10,8,9,3.34
0,,,,,,,,,
0,,,,,,,,,
88,11/22/17,97,10,10,10,10,9,10,5.1
4,7/22/16,80,7,8,8,9,8,7,0.17
96,11/18/17,97,10,10,10,10,9,9,2.23
16,9/26/17,93,9,9,10,10,9,9,0.49
14,9/13/17,99,10,10,10,10,9,10,1.76
2,7/28/17,90,10,8,10,10,8,8,0.12
169,11/14/17,94,10,9,10,10,9,9,3.66
15,2002-12-17,97,10,10,10,10,9,9,0.97
8,2010-08-17,98,10,10,10,10,8,9,0.28
19,2011-05-17,99,10,10,10,10,9,10,0.75
8,10/22/17,88,9,10,9,10,9,8,0.46
1,7/22/17,100,10,10,10,10,10,10,0.22
7,8/18/17,100,10,10,10,10,9,10,0.39
1,9/25/16,100,10,10,10,10,10,10,0.07
25,2010-08-17,98,10,10,10,10,9,10,1.06
12,2010-02-17,100,10,10,10,10,10,10,0.77
9,9/25/17,91,9,10,10,10,6,9,1.55
19,10/31/17,95,9,9,10,10,8,9,0.34
6,2010-08-17,96,10,10,10,10,8,10,0.63
73,10/30/17,98,10,10,10,10,9,9,2.77
0,,,,,,,,,
1,4/30/17,100,10,10,10,10,8,8,0.14
6,4/22/17,60,5,6,6,7,5,5,0.32
0,,,,,,,,,
0,,,,,,,,,
98,11/26/17,96,10,10,10,10,9,10,2.91
7,10/15/17,100,10,10,10,10,10,10,1.81
1,2004-11-16,100,8,8,10,10,10,10,0.05
261,11/19/17,98,10,10,10,10,9,10,5
0,,,,,,,,,
29,11/13/17,97,10,10,10,10,9,9,1.69
34,10/21/17,100,10,10,10,10,10,10,0.83
49,2008-01-17,99,10,10,10,10,9,10,3.27
0,,,,,,,,,
0,,,,,,,,,
79,11/17/17,95,10,10,10,9,9,9,1.99
0,,,,,,,,,
21,7/16/17,98,10,10,10,10,9,9,1.4
2,2001-01-17,100,9,10,10,9,9,9,0.09
121,2012-02-17,93,9,9,10,10,9,9,7.5
1,4/20/17,100,10,8,10,10,10,10,0.13
48,2011-06-17,93,10,10,10,10,9,9,1.77
32,11/26/17,94,10,9,10,10,9,9,2.57
4,8/16/17,90,10,9,10,10,9,9,0.7
15,2010-03-16,95,10,10,10,10,10,10,0.53
0,,,,,,,,,
0,,,,,,,,,
2,4/30/17,90,9,8,8,7,9,9,0.27
77,2012-03-17,98,10,10,10,10,9,9,2.37
0,,,,,,,,,
0,,,,,,,,,
29,10/24/17,100,10,10,10,10,10,10,0.64
6,11/27/16,90,10,8,10,10,9,8,0.43
10,2009-09-17,96,10,10,10,10,9,10,1.63
8,2010-02-17,87,9,8,9,9,8,8,1.7
1,8/16/16,100,10,8,10,10,,10,0.06
10,10/23/17,91,9,8,9,9,9,9,0.6
1,2001-02-17,80,8,10,8,8,8,10,0.09
20,5/26/17,59,6,6,6,7,7,6,1.04
0,,,,,,,,,
15,2001-12-17,96,10,9,10,10,9,9,1.06
12,11/28/17,100,10,10,10,10,10,10,0.42
12,10/19/17,98,10,10,10,10,9,10,1.88
2,7/30/17,90,10,10,10,10,6,8,0.09
17,2010-08-17,84,9,8,10,10,9,8,2.83
4,8/20/17,90,10,9,10,10,10,9,0.94
0,,,,,,,,,
0,,,,,,,,,
240,2012-03-17,95,10,9,10,10,9,9,6
10,11/18/17,96,9,9,9,9,10,9,2.91
0,,,,,,,,,
0,,,,,,,,,
7,2009-05-17,100,10,10,10,10,10,10,0.92
12,8/14/17,100,10,10,10,10,10,10,0.67
16,9/24/17,92,9,10,10,9,9,8,1.72
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
7,8/19/17,100,10,10,10,10,9,9,0.43
34,5/21/17,96,10,10,10,10,9,10,1.45
6,9/16/17,100,10,10,10,10,10,10,0.31
7,8/18/17,94,10,9,8,8,10,9,0.95
5,1/26/17,90,9,10,10,10,10,10,0.22
64,10/20/17,97,10,10,10,10,10,10,1.34
7,10/21/15,97,9,8,10,10,10,9,0.23
2,11/29/17,100,10,10,10,10,10,10,2
17,8/16/17,86,9,8,9,9,10,9,2.41
37,9/18/17,98,10,9,10,10,10,9,0.86
13,9/13/16,100,10,10,10,10,10,10,0.39
17,2011-12-17,99,10,10,10,10,10,9,0.72
5,6/29/17,96,9,10,10,10,10,9,0.66
13,10/23/17,89,9,10,10,10,9,9,0.19
7,11/28/17,100,10,10,10,10,10,10,1.43
1,2001-03-16,80,8,6,8,10,10,8,0.04
26,2011-12-17,98,10,10,9,10,10,9,1.35
16,8/22/17,98,10,9,10,10,10,9,0.8
16,8/15/17,97,10,9,10,10,10,9,0.8
35,9/17/17,90,9,9,10,10,9,8,3.31
10,5/28/17,100,9,9,9,10,10,10,0.32
43,11/13/17,92,9,9,10,9,10,9,0.81
79,11/25/17,91,9,9,10,10,10,9,9.52
7,2011-04-17,89,10,8,9,8,10,9,1.11
23,2007-01-17,99,10,10,10,10,10,10,1.16
7,10/16/17,97,10,9,10,10,10,10,1.6
1,5/30/17,100,8,10,10,8,8,6,0.16
2,1/13/16,90,9,9,10,10,9,9,0.09
0,,,,,,,,,
,,,,,,,,,
13,2008-08-17,92,9,10,9,10,10,8,0.8
0,,,,,,,,,
6,2012-04-17,90,9,9,10,10,10,8,5.14
3,2009-10-17,90,10,8,8,9,10,7,0.45
1,2010-05-17,,,,,,,,0.31
39,2010-06-17,97,10,10,10,10,10,9,1.6
0,,,,,,,,,
290,11/15/17,98,10,10,10,10,10,10,7.26
10,6/25/17,76,8,8,8,9,9,7,0.57
24,8/23/17,93,10,10,10,10,10,9,1.75
5,9/21/17,88,9,9,9,9,10,9,0.25
1,8/23/17,100,10,10,10,10,8,10,0.29
5,8/26/17,100,10,10,10,10,10,10,0.7
11,2009-06-17,96,10,10,10,10,10,10,0.65
1,8/15/17,100,10,10,10,10,10,10,0.27
5,11/21/17,100,10,10,10,10,10,10,3.41
111,11/17/17,92,10,9,10,10,10,9,2.62
28,9/20/17,99,10,10,10,10,10,9,0.89
1,2001-02-17,100,10,10,10,10,8,8,0.09
340,11/30/17,96,10,10,10,10,10,9,11.09
15,8/13/17,96,10,10,10,10,10,9,0.72
14,2011-05-17,98,10,9,10,10,10,9,1.41
0,,,,,,,,,
1,2012-07-14,100,10,10,10,8,8,10,0.03
9,11/26/17,98,10,10,10,10,10,10,2.09
24,9/25/17,97,10,9,10,10,9,10,0.72
2,8/21/17,100,10,9,10,10,10,8,0.53
1,8/13/17,100,10,10,10,10,10,10,0.26
0,,,,,,,,,
2,2008-07-17,100,10,9,9,10,8,10,0.27
3,2011-01-17,87,8,9,9,9,7,7,0.7
2,10/16/16,100,10,10,10,10,10,10,0.13
6,2011-12-17,100,10,10,10,10,10,10,1.1
4,11/20/17,100,10,9,10,10,10,10,4
0,,,,,,,,,
1,2009-05-16,80,6,8,10,10,10,6,0.07
6,2010-08-17,97,10,10,10,10,8,9,0.41
8,6/15/17,100,10,10,10,10,10,10,0.8
0,,,,,,,,,
3,2008-11-17,80,10,8,9,8,8,8,0.72
20,6/19/17,97,10,9,10,10,10,9,0.4
30,10/15/17,91,10,9,10,10,9,8,1.03
7,8/23/17,100,10,10,10,10,10,9,0.34
0,,,,,,,,,
23,10/22/17,95,10,10,10,10,10,9,0.59
14,9/25/16,91,10,9,9,9,10,9,0.72
0,,,,,,,,,
22,11/26/17,99,10,10,10,10,10,10,3.03
1,10/30/17,100,10,10,10,10,10,10,0.83
23,2006-05-17,95,10,9,10,10,9,9,0.43
34,10/15/17,94,10,10,10,10,9,9,0.95
0,,,,,,,,,
244,11/26/17,96,10,10,10,10,10,9,6.61
74,10/15/17,88,9,9,10,10,9,9,1.67
30,11/22/17,97,10,10,10,10,10,10,5.56
10,11/24/17,80,8,9,10,10,10,9,1.15
5,11/26/17,100,10,10,10,10,10,10,1.83
0,,,,,,,,,
13,11/28/17,98,10,10,10,10,9,9,4.76
4,11/27/16,100,10,10,9,10,10,9,0.29
0,,,,,,,,,
81,11/19/17,90,9,9,10,9,10,9,4.52
0,,,,,,,,,
1,11/25/17,100,10,10,10,10,8,10,1
24,2011-02-17,98,10,10,10,10,10,10,2.99
26,2011-04-17,92,9,9,9,9,9,9,1.02
3,2005-07-17,100,10,9,10,10,10,10,0.26
0,,,,,,,,,
7,2012-03-17,100,10,10,10,10,10,10,1.98
3,2008-02-17,100,10,10,9,10,9,9,0.41
11,8/17/17,98,10,9,10,10,10,9,0.68
2,10/23/17,100,10,10,10,10,10,10,0.76
22,2011-04-17,96,10,9,10,10,9,9,3.84
22,7/16/17,97,10,10,10,10,9,9,0.71
1,2005-08-16,100,10,10,10,10,10,10,0.05
3,10/16/17,100,9,9,10,10,9,9,0.44
11,11/19/17,98,10,10,10,10,10,9,4.12
0,,,,,,,,,
4,2011-03-17,95,10,10,10,10,10,10,2.55
6,11/26/17,97,10,10,10,10,10,10,1.51
0,,,,,,,,,
13,4/17/17,97,10,10,10,10,10,10,0.59
0,,,,,,,,,
29,2011-12-17,94,10,9,10,10,9,9,0.89
27,6/26/17,94,10,10,10,9,9,9,0.83
1,2012-02-15,,,,,,,,0.04
5,2010-03-15,100,10,10,10,10,10,10,0.18
